Color,Rating,Opponent,Opponent_rating,Result,Opening,Moves,Year
Black,2745,Ian Nepomniachtchi,2776,Draw,                                                                                                              Modern Defense,92,2019
Black,2749,Jan-Krzysztof Duda,2731,Draw,                                                                                                              English Opening,69,2019
Black,2741,Wesley So,2760,Win,                                                                                                              Queen's Pawn Opening,61,2019
Black,2749,David W L Howell,2685,Draw,                                                                                                              English Opening,30,2019
Black,2749,Daniel Naroditsky,2616,Loss,                                                                                                              King's Indian Attack,60,2019
Black,2754,Viswanathan Anand,2764,Loss,                                                                                                              Modern Defense ,84,2019
Black,2749,Samuel Shankland,2725,Win,                                                                                                              Nimzo-Indian Defense,49,2019
Black,2741,Ian Nepomniachtchi,2773,Win,                                                                                                              Giuoco Piano Game,30,2019
Black,2754,Daniil Dubov,2700,Win,                                                                                                              Queen's Gambit Declined,64,2019
Black,2743,Viswanathan Anand,2756,Draw,                                                                                                              Ruy López Opening,26,2019
Black,2741,Anish Giri,2776,Draw,                                                                                                              Queen's Gambit Declined,18,2019
Black,2761,Bassem Amin,2704,Loss,                                                                                                              Sicilian Defense,85,2019
Black,2745,Ian Nepomniachtchi,2776,Draw,                                                                                                              Modern Defense,92,2019
Black,2746,Ray Robson,2667,Win,                                                                                                              Sicilian Defense,55,2019
Black,2749,Ladia Jirasek,2376,Win,                                                                                                              Caro-Kann Defense,61,2019
Black,2741,Magnus Carlsen,2870,Draw,                                                                                                              Ruy López Opening,20,2019
Black,2761,Wei Yi,2736,Draw,                                                                                                              Réti Opening,41,2019
Black,2745,Mircea-Emilian Parligras,2629,Draw,                                                                                                              Queen's Gambit Accepted,35,2019
Black,2743,Levon Aronian,2765,Draw,                                                                                                              Sicilian Defense,40,2019
Black,2745,Anton Demchenko,2655,Draw,                                                                                                              London System,21,2019
Black,2745,Baskaran Adhiban,2639,Draw,                                                                                                              Queen's Gambit Accepted,30,2019
Black,2749,Jan-Krzysztof Duda,2731,Win,                                                                                                              English Opening,61,2019
Black,2745,Ian Nepomniachtchi,2776,Loss,                                                                                                              Caro-Kann Defense,32,2019
Black,2749,Jan-Krzysztof Duda,2731,Draw,                                                                                                              Giuoco Piano Game,107,2019
Black,2754,Alexander Grischuk,2766,Loss,                                                                                                              Queen's Gambit Declined,81,2019
Black,2761,Ian Nepomniachtchi,2773,Win,                                                                                                              English Opening,40,2019
Black,2749,Jan-Krzysztof Duda,2731,Win,                                                                                                              English Opening,61,2019
Black,2736,Ilya Smirin,2607,Win,                                                                                                              Ruy López Opening,46,2019
Black,2745,Ian Nepomniachtchi,2776,Loss,                                                                                                              Caro-Kann Defense,32,2019
Black,2749,Jan-Krzysztof Duda,2731,Draw,                                                                                                              Giuoco Piano Game,107,2019
Black,2754,Alexander Grischuk,2766,Loss,                                                                                                              Queen's Gambit Declined,81,2019
Black,2761,Ian Nepomniachtchi,2773,Win,                                                                                                              English Opening,40,2019
Black,2736,Alexander Riazantsev,2639,Win,                                                                                                              Queen's Pawn Opening,76,2019
Black,2749,Jan-Krzysztof Duda,2731,Loss,                                                                                                              Giuoco Piano Game,78,2019
Black,2749,Wang Yue,2684,Draw,                                                                                                              Queen's Pawn Opening,106,2019
Black,2741,Pentala Harikrishna,2731,Win,                                                                                                              Ruy López Opening,38,2019
Black,2745,Anton Demchenko,2655,Draw,                                                                                                              London System,21,2019
Black,2754,Daniil Dubov,2700,Win,                                                                                                              Queen's Gambit Declined,64,2019
Black,2754,Wesley So,2754,Loss,                                                                                                              Ruy López Opening,55,2019
Black,2741,Ian Nepomniachtchi,2773,Win,                                                                                                              Giuoco Piano Game,30,2019
Black,2745,Vladislav Kovalev,2661,Win,                                                                                                              Sicilian Defense,31,2019
Black,2746,Aleksandr Lenderman,2637,Draw,                                                                                                              Queen's Gambit Accepted,30,2019
Black,2749,Jeffery Xiong,2672,Draw,                                                                                                              Sicilian Defense,30,2019
Black,2754,Ian Nepomniachtchi,2775,Draw,                                                                                                              Giuoco Piano Game,47,2019
Black,2743,Shakhriyar Mamedyarov,2764,Draw,                                                                                                              Queen's Gambit Declined,44,2019
Black,2749,Jan-Krzysztof Duda,2731,Win,                                                                                                              English Opening,34,2019
Black,2745,Ian Nepomniachtchi,2776,Draw,                                                                                                              Caro-Kann Defense,93,2019
Black,2761,Teimour Radjabov,2759,Draw,                                                                                                              Queen's Gambit Declined,30,2019
Black,2736,Magnus Carlsen,2872,Loss,                                                                                                              Queen's Pawn Opening,30,2019
Black,2741,Ding Liren,2801,Draw,                                                                                                              English Opening,43,2019
Black,2754,Maxime Vachier-Lagrave,2775,Loss,                                                                                                              Pirc Defense,46,2019
Black,2741,Ding Liren,2801,Draw,                                                                                                              English Opening,43,2019
Black,2736,Magnus Carlsen,2872,Loss,                                                                                                              Queen's Pawn Opening,30,2019
Black,2745,Ian Nepomniachtchi,2776,Draw,                                                                                                              Caro-Kann Defense,93,2019
Black,2746,Aleksandr Lenderman,2637,Draw,                                                                                                              Queen's Gambit Accepted,30,2019
Black,2749,Jan-Krzysztof Duda,2731,Win,                                                                                                              English Opening,34,2019
Black,2743,Shakhriyar Mamedyarov,2764,Draw,                                                                                                              Queen's Gambit Declined,44,2019
Black,2754,Ian Nepomniachtchi,2775,Draw,                                                                                                              Giuoco Piano Game,47,2019
Black,2749,Jeffery Xiong,2672,Draw,                                                                                                              Sicilian Defense,30,2019
Black,2745,Vladislav Kovalev,2661,Win,                                                                                                              Sicilian Defense,31,2019
Black,2736,Ilya Smirin,2607,Win,                                                                                                              Ruy López Opening,46,2019
Black,2749,Jan-Krzysztof Duda,2731,Draw,                                                                                                              Giuoco Piano Game,34,2019
Black,2749,David W L Howell,2685,Draw,                                                                                                              English Opening,30,2019
Black,2745,Jan-Krzysztof Duda,2730,Win,                                                                                                              Modern Defense,42,2019
Black,2736,Francisco Vallejo Pons,2704,Draw,                                                                                                              Ruy López Opening,14,2019
Black,2761,Veselin Topalov,2740,Draw,                                                                                                              English Opening,56,2019
Black,2741,Wesley So,2760,Draw,                                                                                                              Queen's Pawn Opening,18,2019
Black,2745,Jan-Krzysztof Duda,2730,Draw,                                                                                                              Ruy López Opening,60,2019
Black,2745,Jan-Krzysztof Duda,2730,Loss,                                                                                                              Ruy López Opening,40,2019
Black,2749,Daniel Naroditsky,2616,Draw,                                                                                                              Réti Opening,39,2019
Black,2741,Levon Aronian,2772,Win,                                                                                                              Giuoco Piano Game,65,2019
Black,2749,Jan-Krzysztof Duda,2731,Loss,                                                                                                              Giuoco Piano Game,75,2019
Black,2749,Daniel Naroditsky,2616,Loss,                                                                                                              King's Indian Attack,60,2019
Black,2746,Jeffery Xiong,2663,Win,                                                                                                              Dutch Defense,58,2019
Black,2746,Awonder Liang,2590,Draw,                                                                                                              Giuoco Piano Game,31,2019
Black,2736,Maxim Matlakov,2699,Win,                                                                                                              Queen's Gambit Declined,49,2019
Black,2749,Samuel Shankland,2725,Win,                                                                                                              Nimzo-Indian Defense,49,2019
Black,2754,Viswanathan Anand,2764,Loss,                                                                                                              Modern Defense ,84,2019
Black,2749,Daniel Naroditsky,2616,Loss,                                                                                                              King's Indian Attack,60,2019
Black,2749,David W L Howell,2685,Draw,                                                                                                              English Opening,30,2019
Black,2746,Aleksandr Lenderman,2637,Draw,                                                                                                              Queen's Gambit Accepted,30,2019
Black,2749,Jan-Krzysztof Duda,2731,Draw,                                                                                                              Giuoco Piano Game,34,2019
Black,2741,Viswanathan Anand,2757,Draw,                                                                                                              Giuoco Piano Game,21,2019
Black,2745,Jan-Krzysztof Duda,2730,Draw,                                                                                                              Ruy López Opening,60,2019
Black,2761,Veselin Topalov,2740,Draw,                                                                                                              English Opening,56,2019
Black,2745,V Dobrov,2478,Loss,                                                                                                              Queen's Gambit Declined,26,2019
Black,2761,Ian Nepomniachtchi,2773,Draw,                                                                                                              Queen's Gambit Declined,53,2019
Black,2749,Jan-Krzysztof Duda,2731,Draw,                                                                                                              English Opening,75,2019
Black,2736,Alexei Shirov,2684,Loss,                                                                                                              Ruy López Opening,58,2019
Black,2749,Keaton F Kiewra,2362,Win,                                                                                                              Réti Opening,43,2019
Black,2749,Jan-Krzysztof Duda,2731,Loss,                                                                                                              Ruy López Opening,44,2019
Black,2745,Jan-Krzysztof Duda,2730,Win,                                                                                                              Ruy López Opening,45,2019
Black,2745,V Dobrov,2478,Win,                                                                                                              Queen's Gambit Declined,25,2019
Black,2745,Jan-Krzysztof Duda,2730,Draw,                                                                                                              Giuoco Piano Game,40,2019
Black,2749,Wang Hao,2714,Win,                                                                                                              Four Knights Game,62,2019
Black,2749,Jeffery Xiong,2672,Loss,                                                                                                              Indian Game,34,2019
Black,2745,Jan-Krzysztof Duda,2730,Win,                                                                                                              Modern Defense,42,2019
Black,2761,Magnus Carlsen,2861,Draw,                                                                                                              Four Knights Game,45,2019
Black,2745,V Dobrov,2478,Loss,                                                                                                              Neo-Grünfeld Defense ,39,2019
Black,2736,Nikita Vitiugov,2747,Draw,                                                                                                              Ruy López Opening,14,2019
Black,2749,Jan-Krzysztof Duda,2731,Loss,                                                                                                              Trompowsky Attack,42,2019
Black,2745,V Dobrov,2478,Loss,                                                                                                              Queen's Gambit Declined,26,2019
Black,2749,Jan-Krzysztof Duda,2731,Draw,                                                                                                              English Opening,75,2019
Black,2736,Alexei Shirov,2684,Loss,                                                                                                              Ruy López Opening,58,2019
Black,2749,Keaton F Kiewra,2362,Win,                                                                                                              Réti Opening,43,2019
Black,2745,Jan-Krzysztof Duda,2730,Win,                                                                                                              Ruy López Opening,45,2019
Black,2745,Jan-Krzysztof Duda,2730,Loss,                                                                                                              Ruy López Opening,40,2019
Black,2745,V Dobrov,2478,Win,                                                                                                              Queen's Gambit Declined,25,2019
Black,2745,Jan-Krzysztof Duda,2730,Draw,                                                                                                              Giuoco Piano Game,40,2019
Black,2749,Wang Hao,2714,Win,                                                                                                              Four Knights Game,62,2019
Black,2761,Ian Nepomniachtchi,2773,Draw,                                                                                                              Queen's Gambit Declined,53,2019
Black,2749,Jeffery Xiong,2672,Loss,                                                                                                              Indian Game,34,2019
Black,2761,Magnus Carlsen,2861,Draw,                                                                                                              Four Knights Game,45,2019
Black,2745,V Dobrov,2478,Loss,                                                                                                              Neo-Grünfeld Defense ,39,2019
Black,2736,Nikita Vitiugov,2747,Draw,                                                                                                              Ruy López Opening,14,2019
Black,2749,Jan-Krzysztof Duda,2731,Loss,                                                                                                              Trompowsky Attack,42,2019
White,2761,Ian Nepomniachtchi,2773,Win,                                                                                                              Ruy López Opening,86,2019
White,2754,Jan-Krzysztof Duda,2729,Draw,                                                                                                              Sicilian Defense,61,2019
White,2745,Fabiano Caruana,2812,Draw,                                                                                                              Petrov's Defense,31,2019
White,2761,Teimour Radjabov,2759,Win,                                                                                                              Queen's Gambit Declined,41,2019
White,2749,Jan-Krzysztof Duda,2731,Draw,                                                                                                              English Opening,82,2019
White,2749,Jan-Krzysztof Duda,2731,Win,                                                                                                              Four Knights Game,52,2019
White,2761,Daniil Dubov,2690,Draw,                                                                                                              English Opening,28,2019
White,2749,Nils Grandelius,2682,Draw,                                                                                                              Sicilian Defense,45,2019
White,2741,Ding Liren,2801,Draw,                                                                                                              Nimzo-Indian Defense,81,2019
White,2745,Bilel Bellahcene,2540,Win,                                                                                                              English Opening,47,2019
White,2736,Anish Giri,2769,Draw,                                                                                                              Vienna Game,26,2019
White,2761,Wei Yi,2736,Draw,                                                                                                              Petrov's Defense,55,2019
White,2754,Fabiano Caruana,2819,Win,                                                                                                              Ruy López Opening,69,2019
White,2749,Jan-Krzysztof Duda,2731,Draw,                                                                                                              English Opening,82,2019
White,2761,Daniil Dubov,2690,Draw,                                                                                                              English Opening,28,2019
White,2741,Levon Aronian,2772,Win,                                                                                                              Nimzo-Indian Defense,46,2019
White,2749,Nils Grandelius,2682,Draw,                                                                                                              Sicilian Defense,45,2019
White,2741,Ding Liren,2801,Draw,                                                                                                              Nimzo-Indian Defense,81,2019
White,2745,Bilel Bellahcene,2540,Win,                                                                                                              English Opening,47,2019
White,2736,Alexey Sarana,2663,Win,                                                                                                              Sicilian Defense,45,2019
White,2749,A R Saleh Salem,2672,Draw,                                                                                                              Réti Opening,36,2019
White,2761,Teimour Radjabov,2759,Win,                                                                                                              Queen's Gambit Declined,41,2019
White,2761,Wesley So,2754,Draw,                                                                                                              Ruy López Opening,59,2019
White,2743,Fabiano Caruana,2818,Draw,                                                                                                              Ruy López Opening,43,2019
White,2746,Samuel Shankland,2731,Draw,                                                                                                              Slav Defense,30,2019
White,2736,Zaven Andriasian,2611,Win,                                                                                                              Ruy López Opening,58,2019
White,2749,Sergei Movsesian,2629,Draw,                                                                                                              Réti Opening,56,2019
White,2749,Jan-Krzysztof Duda,2731,Draw,                                                                                                              Vienna Game,84,2019
White,2746,Leinier Dominguez Perez,2739,Draw,                                                                                                              Queen's Gambit Declined,29,2019
White,2741,Wesley So,2760,Draw,                                                                                                              Nimzo-Indian Defense,51,2019
White,2745,Jan-Krzysztof Duda,2730,Loss,                                                                                                              Indian Game,30,2019
White,2761,Ding Liren,2805,Win,                                                                                                              Réti Opening,48,2019
White,2745,Jan-Krzysztof Duda,2730,Win,                                                                                                              Sicilian Defense,48,2019
White,2754,Daniil Dubov,2700,Win,                                                                                                              English Opening,38,2019
White,2741,Ian Nepomniachtchi,2773,Draw,                                                                                                              Trompowsky Attack,45,2019
White,2761,Wesley So,2754,Win,                                                                                                              Réti Opening,49,2019
White,2745,Jan-Krzysztof Duda,2730,Draw,                                                                                                              Réti Opening,61,2019
White,2736,Anish Giri,2769,Draw,                                                                                                              Vienna Game,26,2019
White,2749,Jan-Krzysztof Duda,2731,Win,                                                                                                              Petrov's Defense,33,2019
White,2745,Jan-Krzysztof Duda,2730,Loss,                                                                                                              Réti Opening,54,2019
White,2745,Jan-Krzysztof Duda,2730,Loss,                                                                                                              Petrov's Defense,19,2019
White,2736,Klementy Sychev,2563,Win,                                                                                                              Ruy López Opening,48,2019
White,2745,Jan-Krzysztof Duda,2730,Win,                                                                                                              Sicilian Defense,46,2019
White,2741,Santosh Gujrathi Vidit,2722,Draw,                                                                                                              Trompowsky Attack,36,2019
White,2745,Bilel Bellahcene,2540,Draw,                                                                                                              Queen's Gambit Declined,38,2019
White,2749,Fabiano Caruana,2828,Draw,                                                                                                              Petrov's Defense,47,2019
White,2745,Jan-Krzysztof Duda,2730,Loss,                                                                                                              Indian Game,30,2019
White,2754,Anish Giri,2779,Win,                                                                                                              Sicilian Defense,38,2019
White,2761,Ding Liren,2805,Win,                                                                                                              Réti Opening,48,2019
White,2745,Jan-Krzysztof Duda,2730,Win,                                                                                                              Sicilian Defense,48,2019
White,2754,Daniil Dubov,2700,Win,                                                                                                              English Opening,38,2019
White,2741,Ian Nepomniachtchi,2773,Draw,                                                                                                              Trompowsky Attack,45,2019
White,2749,Jan-Krzysztof Duda,2731,Win,                                                                                                              Queen's Pawn Opening,33,2019
White,2761,Sergey Karjakin,2752,Draw,                                                                                                              Ruy López Opening,93,2019
White,2754,Jan-Krzysztof Duda,2729,Draw,                                                                                                              Sicilian Defense,72,2019
White,2746,Fabiano Caruana,2828,Draw,                                                                                                              Sicilian Defense,31,2019
White,2749,Jan-Krzysztof Duda,2731,Draw,                                                                                                              English Opening,60,2019
White,2741,Wesley So,2760,Draw,                                                                                                              Nimzo-Indian Defense,51,2019
White,2741,Viswanathan Anand,2757,Draw,                                                                                                              Ruy López Opening,33,2019
White,2746,Samuel Sevian,2642,Win,                                                                                                              English Opening,49,2019
White,2749,Fabiano Caruana,2828,Draw,                                                                                                              Petrov's Defense,47,2019
White,2749,Jan-Krzysztof Duda,2731,Win,                                                                                                              Queen's Pawn Opening,59,2019
White,2745,Jan-Krzysztof Duda,2730,Loss,                                                                                                              Indian Game,30,2019
White,2761,Ding Liren,2805,Win,                                                                                                              Réti Opening,48,2019
White,2745,Jan-Krzysztof Duda,2730,Win,                                                                                                              Sicilian Defense,48,2019
White,2754,Daniil Dubov,2700,Win,                                                                                                              English Opening,38,2019
White,2749,Jan-Krzysztof Duda,2731,Win,                                                                                                              Four Knights Game,52,2019
White,2749,Nils Grandelius,2682,Draw,                                                                                                              Sicilian Defense,45,2019
White,2736,Magnus Carlsen,2872,Draw,                                                                                                              Sicilian Defense,22,2019
White,2761,Sergey Karjakin,2752,Draw,                                                                                                              Ruy López Opening,103,2019
White,2745,Ian Nepomniachtchi,2776,Win,                                                                                                              Sicilian Defense,76,2019
White,2754,Ian Nepomniachtchi,2775,Loss,                                                                                                              Grünfeld Defense,93,2019
White,2745,Ian Nepomniachtchi,2776,Draw,                                                                                                              Sicilian Defense,47,2019
White,2749,Eduardo Iturrizaga Bonelli,2637,Draw,                                                                                                              Queen's Indian Defense,49,2019
White,2743,Sergey Karjakin,2750,Draw,                                                                                                              Queen's Gambit Declined,104,2019
White,2754,Viswanathan Anand,2764,Draw,                                                                                                              Réti Opening,31,2019
White,2745,Ian Nepomniachtchi,2776,Loss,                                                                                                              Sicilian Defense,45,2019
White,2736,Marin Bosiocic,2623,Win,                                                                                                              Réti Opening,37,2019
White,2741,Viswanathan Anand,2757,Draw,                                                                                                              Ruy López Opening,44,2019
White,2749,Michael William Brown,2524,Draw,                                                                                                              Réti Opening,48,2019
White,2745,Ian Nepomniachtchi,2776,Win,                                                                                                              Sicilian Defense,39,2019
White,2749,Jeffery Xiong,2672,Draw,                                                                                                              Ruy López Opening,45,2019
White,2743,Anish Giri,2779,Draw,                                                                                                              Queen's Gambit Declined,23,2019
White,2754,Maxime Vachier-Lagrave,2775,Win,                                                                                                              Sicilian Defense,59,2019
White,2754,Ian Nepomniachtchi,2775,Draw,                                                                                                              Grünfeld Defense,65,2019
White,2754,Ian Nepomniachtchi,2775,Loss,                                                                                                              Grünfeld Defense,93,2019
White,2745,Ian Nepomniachtchi,2776,Win,                                                                                                              Sicilian Defense,76,2019
White,2741,Ding Liren,2801,Draw,                                                                                                              Ruy López Opening,44,2019
